"sim","loss"
1325,185702
1326,6852187.826
1327,20228474.338
1328,55776822.443
1329,13973626.536
1330,15043097.174
1331,31775949.333
1332,1262826.81
1333,0
1334,1173174.552
1335,4251063.219
1336,3569498.826
1337,1565709.58
1338,7276511.3
1339,19170293.377
1340,21794801.315
1341,16507979.068
1342,3716342.852
1343,1476337.307
1344,3412155.768
1345,12745752.369
1346,14051192.128
1347,10225109.648
1348,9182323.261
1349,10785648.569
1350,14020565.973
1351,10656709.234
1352,10536433.435
1353,3412155.768
1354,6111632.277
1355,28737403.741
1356,7700046.552
1357,21615365.365
1358,2162402
1359,4231278.923
1360,1239814.039
1361,39688429.461
1362,11916518.497
1363,17878839.544
1364,13466194.813
1365,12309085.758
1366,16589521.968
1367,19945331.474
1368,1646192
1369,339864
1370,10618294.233
1371,13450858.936
1372,17526052.265
1373,160225
1374,24749219.997
1375,22348219.174
1376,6531279.126
1377,18239863.494
1378,17438149.85
1379,9736905.83
1380,15594414.494
1381,8929296.331
1382,29498140.985
1383,7403294.35
1384,3123896.116
1385,21444100.237
1386,1831603.618
1387,3854373.843
1388,46906280.415
1389,20086807.28
1390,3196153.552
1391,6772517.044
1392,7129341
1393,9132767.435
1394,2671708.248
1395,24025306.416
1396,7501235.826
1397,32183288.285
1398,3358041.031
1399,9678067.141
1400,21546761.224
1401,1824014.451
1402,2022979
1403,17465051.414
1404,7804539.552
1405,21078586.89
1406,0
1407,10452228.7
1408,6937927
1409,3270584.876
1410,120604.048
1411,5744002.068
1412,11044623.035
1413,0
1414,20190818.287
1415,33561392.41
1416,10208160.3
1417,2192834.451
1418,5393668.219
1419,6664614.062
1420,5499831.451
1421,10263509.435
1422,844350
1423,26513258.545
1424,35769197.867
1425,8751782.2
1426,15432930.497
1427,750887
1428,347070
1429,17348163.928
1430,15608509.425
1431,1148818.248
1432,23125189.8
1433,6082608.036
1434,26131716.772
1435,32164753.524
1436,160225
1437,15645571.269
1438,23683050.187
1439,1533999.417
1440,5451960
1441,17296938.01
1442,18648021.635
1443,26993455.107
1444,13787433.192
1445,13482760.897
1446,8516143.465
1447,3878337.098
1448,10997594.779
1449,2453192
1450,0
1451,15927305.049
1452,17284596.695
1453,18962172.936
1454,211322
1455,14522052.083
1456,5751993.435
1457,22720582.154
1458,18076453.234
1459,1452754.588
1460,6574669.126
1461,10226519.261
1462,13839647.617
1463,9820925.261
1464,28816839.643
1465,21841769.808
1466,7618274.673
1467,3590554.826
1468,7477363.451
1469,54436387.87
1470,47884795.72
1471,527214.765
1472,198455.348
1473,37930699.879
1474,7276511.3
1475,5451960
1476,12248019.371
1477,6805456.339
1478,17314703.111
1479,12332386.095
1480,7276946.781
1481,6807536.348
1482,26624756.655
1483,10991772.081
1484,7461040.031
1485,3412155.768
1486,0
1487,17935700.497
1488,13133305.502
1489,10374489.235
1490,5129041.852
1491,18967409.71
1492,15040799.071
1493,11060531.815
1494,5694866.856
1495,8460235.326
1496,38243324.556
1497,47372501.096
1498,2432053.89
1499,28870537.119
1500,1645653.967
1501,8430792.53
1502,6590857
1503,3090701.976
1504,26184601.258
1505,8354935.062
1506,10890254.888
1507,10843962.281
1508,25275200.122
1509,9391298.261
1510,29102221.088
1511,1283568.288
